"Tytul","Cena","Metraz","Dzielnica","Cena_m2"
"Mieszkanie, Kraków 562 000 zł Kraków, Stare Miasto...",562000,43.3,Stare Miasto,12979.21
"3-pokojowe mieszkanie z piwnicą w Bieńczycach 510 ...",510000,43.63,Bieńczyce,11689.2
Wykończone dwupokojowe z balkonem! Cechowa/ Podgór...,379900,25.0,Podgórze Duchackie,15196.0
ul. Bobrzyńskiego | UJ | 2 pokoje+aneks | balkon !...,669000,45.7,Dębniki,14638.95
"2 oddzielne pokoje – balkon – Wrocławska x Łokietk...",680000,45.8,Krowodrza,14847.16
Idealne na start i pod wynajem – 2 POK/ 0 Prowizj ...,595000,33.0,Podgórze,18030.3
"2 pokoje z balkonem gotowe do wejścia – Złocień 44...",449000,30.7,Bieżanów,14625.41
Dwupokojowe mieszkanie z widokiem na zieleń 670 00...,670000,37.76,Prądnik Biały,17743.64
"Mieszkanie 73,17 m2, taras 60,26 m2 widok na ziele...",1141452,73.17,Prądnik Czerwony,15600.0
"Kraków, Krowodrza - mieszkanie w kamienicy do włas...",1249000,86.0,Krowodrza,14523.26
Nowa Cena| Po remoncie| Tramwaj | 12min do Centrum...,869000,50.0,Prądnik Czerwony,17380.0
"2 pokoje z otwartym widokiem 460 000 zł Kraków, No...",460000,36.1,Nowa Huta,12742.38
Mieszkanie z garażem na Ruczaju 539 000 zł do nego...,539000,34.0,Dębniki,15852.94
Przestronne 2-pokojowe mieszkanie z balkonem zabud...,585000,47.0,Bieżanów,12446.81
"4M + antresola | balkon_miejsce postojowe| REZERWA...",789000,71.0,Dębniki,11112.68
Lokalizacja | Komunikacja | Inwestycja 985 000 zł ...,985000,68.0,Bronowice,14485.29
"Nowe 46 m² | 3 pokoje | Szpakowa, Kraków 595 000 z...",595000,46.0,Podgórze Duchackie,12934.78
"Bieżanów - Prokocim, ul. Wallenroda, 32,1 m2, 1 po...",450000,32.1,Bieżanów,14018.69
"2 pokoje 38 m² | balkon | Bieńczyce | blisko Dhw 5...",550000,38.0,Bieńczyce,14473.68
"Kawalerka 16,7 m² | parter | zachód | 189 000 zł 1...",189000,16.7,Łagiewniki,11317.37
Bezpośrednio NOWE WYKOŃCZONE PREMIUM 4 pokoje | Kl...,1197840,68.99,Dębniki,17362.52
Ustawne 2 pokojowe mieszkanie w sąsiedztwie Młynów...,599000,49.4,Bronowice,12125.51
Śliczna kawalerka Bunscha Park na 2gi pietrze z ba...,549000,29.0,Dębniki,18931.03
"1M| Po Remoncie_kamienica_mp_inwestycyjne| Tylko U...",359000,28.0,Swoszowice,12821.43
Bieńczyce | 3 POK. | Balkon | Nowa Huta 585 000 zł...,585000,49.34,Bieńczyce,11856.51
"Duży pokój z osobną kuchnią, duży balkon, piwnica ...",530000,39.1,Prądnik Czerwony,13554.99
Sprzedam mieszkanie 460 000 zł do negocjacji Krakó...,460000,37.0,Nowa Huta,12432.43
Kawalerka z oddzielną kuchnią | 30 m² | Balkon 469...,469000,30.0,Prądnik Biały,15633.33
Przestronna kawalerka z dużą kuchnią | Kurdwanów |...,489000,30.7,Podgórze Duchackie,15928.34
Sprzedam mieszkanie ul. Senatorska z miejscem gara...,1194750,51.79,Stare Miasto,23069.13
Zanurz się w krakowskim rytmie życia 1 450 000 zł ...,1450000,74.49,Stare Miasto,19465.7
Na sprzedaż 100m2 ul. Długa - Stare Miasto 1 374 0...,1374000,100.0,Stare Miasto,13740.0
"4-pokojowe mieszkanie z osobną kuchnią, loggią ora...",799000,66.9,Bieżanów,11943.2
Śliczna kawalerka Bunscha Park na 2gi pietrze z ba...,549000,29.0,Dębniki,18931.03
"40 mkw/dwa pokoje/balkon/pietro 1/po remoncie/do w...",720000,39.45,Krowodrza,18250.95
"Mieszkanie 2 pokojowe/50,56m2/Centrum 785 000 zł K...",785000,50.56,Grzegórzki,15526.11
Nowoczesne 3-pokojowe mieszkanie z 2 balkonami – o...,899000,61.5,Dębniki,14617.89
"Sprzedam mieszkanie 24,37m Kraków Nowa Huta 350 00...",350000,24.37,Nowa Huta,14361.92
"3 pokoje, kuchnia, balkon na Dąbiu, przy Smoczym S...",660000,47.0,Grzegórzki,14042.55
"3-pokojowe mieszkanie | 49,5 m² | Kraków – Bieżanó...",550000,49.5,Bieżanów,11111.11
"1 pokój osobna kuchnia balkon zieleń spokój 425 00...",425000,26.12,Prądnik Czerwony,16271.06
"Prestiżowe miejsce, świetne mieszkanie Kraków ul. ...",1750000,58.03,Podgórze,30156.82
"Sprzedam mieszkanie Kraków, ul. Niewodniczańskiego...",259000,19.5,Dębniki,115846.15
Do wejścia I Po remoncie I 2 pokoje I Tramwaj 525 ...,525000,37.0,Bieńczyce,14189.19
"Kraków, ul. Rolnicza - 3-pokojowe mieszkanie po re...",1099000,58.0,Rolnicza,18948.28
"3-pok. w Prokocimiu  na sprzedaż! 680 000 zł do ne...",680000,63.0,Bieżanów,10793.65
"3 pokoje - Ruczaj - Skotniki ulica Podgórki Tyniec...",599000,54.22,Dębniki,11047.58
"Mieszkanie 1-pokojowe, ul. Turniejowa, Kurdwanów 4...",450000,38.7,Podgórze Duchackie,11627.91
"45,6m2 *2pok* częściowo wyremontowane* Os.Zielone ...",593000,45.6,Nowa Huta,13004.39
"Po remoncie, skomunikowane + balkon i piwnica. 559...",559000,46.64,Bronowice,11985.42
Na Zakolu Wisły |56 m2 | 3 pokoje TARAS GARAŻ 865 ...,865000,56.0,Grzegórzki,15446.43
"ul. Wyki | 3 pokoje + kuchnia | 11 piętro | 61,6m2...",649999,61.6,Prądnik Biały,43019.46
Dwupoziomowe | Z ogrodem | Węgrzce Wielkie | SKA 7...,739000,85.26,Bieżanów,8667.6
Bez prowizji | Os. na Lotnisku | 2 pok + kuchnia |...,459000,36.0,Bieńczyce,12750.0
Funkcjonalne mieszkanie z potencjałem | Spokojna i...,679000,56.0,Wzgórza Krzesławickie,12125.0
"2 poziomowe, ogródek, garaż, przy Galerii Bronowic...",1385000,75.73,Prądnik Biały,18288.66
"2M|duży balkon_piwnica_zielone otoczenie| TYLKO U ...",529000,38.0,Bieńczyce,13921.05
"Sprzedam mieszkanie czteropokojowe na oś, Tysiącle...",710000,65.1,Mistrzejowice,10906.3
"3 pokoje, kuchnia, balkon na Dąbiu, przy Smoczym S...",660000,47.0,Grzegórzki,14042.55
"Wyjątkowe, dwupokojowe mieszkanie w świetnej lokal...",617000,31.0,Prądnik Czerwony,19903.23
"4 pokoje | pod klucz | zielona okolica 879 000 zł ...",879000,64.64,Prądnik Czerwony,13598.39
Ładne 1-pokojowe na Prądniku Czerwonym 399 000 zł ...,399000,25.0,Prądnik Czerwony,15960.0
Dwupokojowe mieszkanie z balkonem w Krakowie 520 0...,520000,35.53,Podgórze Duchackie,14635.52
"104 m² dla dużej rodziny | 6 pokoi | 2 poziomy 1 1...",1190000,104.0,Prądnik Biały,11442.31
Krowodrza Józefa Friedleina ⭐37m2 / duża kawalerka...,587000,37.0,Krowodrza,15864.86
Nowoczesny apartament z balkonem | Pękowicka Trio ...,650000,38.22,Prądnik Biały,17006.8
"2 pokoje, Bieżanowska, 30,2 mkw, piwnica 489 000 z...",489000,30.2,Bieżanów,16192.05
"Krowodrza. Ustawne, 2-pokojowe. Doskonała lokaliza...",675000,53.0,Prądnik Biały,50471.7
"3pok,Rusznikarska,Krowodrza,Pilne,b.ładne,loggia.Z...",690000,46.0,Krowodrza,15000.0
"639.000,-do neg,Zaproponuj swoją cenę, Kurdwanów,Z...",639000,49.3,Podgórze Duchackie,12961.46
"Krowodrza, ul. Spokojna, 3 pok. 66,55 m2, piwnica ...",869000,66.55,Krowodrza,13057.85
Dwupokojowe mieszkanie w stanie do wejścia 549 000...,549000,36.1,Grzegórzki,15207.76
"49m2|2 osobne pokoje|do remontu 609 000 zł Kraków,...",609000,49.0,Podgórze Duchackie,12428.57
"2 pokoje | przy parku | Krowodrza Górka |Rusznikar...",579000,30.0,Prądnik Biały,119300.0
Partycypacja TBS mieszkanie 35m2 330 000 zł Kraków...,330000,35.0,Grzegórzki,66571.43
"Mieszkanie Prokocim Nowy 730 000 zł Kraków, Bieżan...",730000,59.0,Bieżanów,12372.88
